Iteration,Heuristic,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
7,1,4,(16 7),(2 2),1322,927,266,(16 7) (16 8) (16 9) (16 10) (16 11) (15 11) (14 11) (13 11) (13 12) (12 12) (11 12) (10 12) (9 12) (8 12) (7 12) (7 11) (7 10) (7 9) (7 8) (7 7) (6 7) (5 7) (4 7) (3 7) (2 7) (2 6) (2 5) (2 4) (2 3) (2 2) 
7,2,4,(16 7),(2 2),2256,1783,316,(16 7) (16 8) (16 9) (17 9) (18 9) (18 8) (18 7) (19 7) (19 6) (19 5) (19 4) (19 3) (19 2) (18 2) (18 1) (17 1) (16 1) (15 1) (14 1) (13 1) (12 1) (11 1) (10 1) (9 1) (8 1) (7 1) (6 1) (5 1) (4 1) (3 1) (2 1) (2 2) 
8,1,1,(24 12),(14 0),1593,1370,280,(24 12) (24 11) (24 10) (23 10) (22 10) (22 11) (21 11) (21 12) (21 13) (20 13) (19 13) (18 13) (18 12) (17 12) (16 12) (16 11) (16 10) (16 9) (16 8) (16 7) (16 6) (16 5) (15 5) (14 5) (14 4) (14 3) (14 2) (14 1) (14 0) 
8,2,1,(24 12),(14 0),323,210,260,(24 12) (23 12) (22 12) (22 11) (22 10) (21 10) (21 9) (21 8) (20 8) (19 8) (18 8) (17 8) (17 7) (16 7) (15 7) (14 7) (14 6) (14 5) (14 4) (13 4) (12 4) (12 3) (12 2) (13 2) (13 1) (13 0) (14 0) 
8,1,2,(24 12),(14 0),941,776,420,(24 12) (24 13) (24 14) (25 14) (26 14) (26 13) (26 12) (26 11) (25 11) (25 10) (24 10) (23 10) (22 10) (22 9) (21 9) (21 8) (20 8) (19 8) (19 9) (18 9) (17 9) (16 9) (16 8) (16 7) (16 6) (16 5) (17 5) (17 4) (17 3) (16 3) (16 2) (16 1) (16 0) (15 0) (14 0) 
8,2,2,(24 12),(14 0),1037,890,350,(24 12) (24 13) (23 13) (22 13) (21 13) (20 13) (19 13) (18 13) (17 13) (16 13) (16 12) (16 11) (16 10) (16 9) (16 8) (16 7) (16 6) (16 5) (16 4) (17 4) (18 4) (18 3) (18 2) (17 2) (17 1) (16 1) (15 1) (14 1) (14 0) 
8,1,3,(24 12),(14 0),7634,7157,366,(24 12) (24 13) (25 13) (26 13) (26 14) (26 15) (26 16) (25 16) (24 16) (23 16) (22 16) (22 15) (21 15) (21 14) (20 14) (20 13) (20 12) (20 11) (19 11) (18 11) (17 11) (16 11) (16 10) (16 9) (15 9) (14 9) (14 8) (14 7) (14 6) (14 5) (14 4) (14 3) (14 2) (14 1) (14 0) 
8,2,3,(24 12),(14 0),1722,1364,341,(24 12) (23 12) (22 12) (21 12) (21 13) (20 13) (19 13) (18 13) (17 13) (17 12) (17 11) (18 11) (18 10) (19 10) (20 10) (20 9) (20 8) (19 8) (19 7) (19 6) (19 5) (19 4) (18 4) (17 4) (16 4) (15 4) (14 4) (14 3) (14 2) (14 1) (14 0) 
8,1,4,(24 12),(14 0),397,270,403,(24 12) (24 11) (25 11) (26 11) (26 10) (26 9) (26 8) (26 7) (26 6) (27 6) (27 5) (27 4) (26 4) (25 4) (25 5) (24 5) (23 5) (23 4) (23 3) (24 3) (24 2) (24 1) (23 1) (22 1) (21 1) (20 1) (19 1) (19 2) (19 3) (19 4) (19 5) (18 5) (17 5) (16 5) (15 5) (14 5) (13 5) (13 4) (13 3) (13 2) (13 1) (13 0) (14 0) 
8,2,4,(24 12),(14 0),3110,2596,584,(24 12) (24 13) (24 14) (24 15) (24 16) (25 16) (25 17) (25 18) (24 18) (24 19) (24 20) (23 20) (22 20) (22 19) (21 19) (20 19) (20 20) (19 20) (18 20) (17 20) (17 21) (16 21) (15 21) (15 22) (14 22) (13 22) (12 22) (11 22) (11 21) (11 20) (10 20) (10 19) (10 18) (9 18) (8 18) (7 18) (6 18) (6 17) (6 16) (6 15) (6 14) (6 13) (6 12) (6 11) (7 11) (8 11) (9 11) (10 11) (11 11) (11 10) (11 9) (11 8) (11 7) (11 6) (11 5) (11 4) (11 3) (11 2) (11 1) (11 0) (12 0) (13 0) (14 0) 
9,1,1,(9 16),(26 24),294,178,450,(9 16) (9 17) (10 17) (10 18) (11 18) (12 18) (12 19) (13 19) (13 20) (13 21) (14 21) (15 21) (16 21) (16 20) (16 19) (16 18) (16 17) (17 17) (17 16) (17 15) (18 15) (19 15) (19 16) (19 17) (20 17) (20 18) (21 18) (22 18) (23 18) (23 19) (23 20) (23 21) (24 21) (25 21) (26 21) (27 21) (28 21) (28 22) (29 22) (29 23) (29 24) (29 25) (28 25) (27 25) (26 25) (26 24) 
9,2,1,(9 16),(26 24),652,501,390,(9 16) (8 16) (8 15) (8 14) (8 13) (8 12) (8 11) (9 11) (10 11) (11 11) (12 11) (13 11) (13 10) (14 10) (15 10) (16 10) (17 10) (17 11) (17 12) (17 13) (17 14) (17 15) (17 16) (18 16) (18 17) (18 18) (19 18) (20 18) (21 18) (22 18) (22 19) (23 19) (24 19) (24 20) (24 21) (24 22) (24 23) (25 23) (26 23) (26 24) 
9,1,2,(9 16),(26 24),744,557,735,(9 16) (9 17) (10 17) (11 17) (12 17) (13 17) (14 17) (14 16) (15 16) (15 15) (15 14) (14 14) (14 13) (13 13) (13 12) (13 11) (13 10) (13 9) (14 9) (14 8) (15 8) (16 8) (17 8) (17 9) (17 10) (18 10) (19 10) (19 11) (19 12) (20 12) (21 12) (22 12) (23 12) (24 12) (25 12) (26 12) (27 12) (27 13) (27 14) (28 14) (29 14) (29 15) (29 16) (29 17) (29 18) (29 19) (29 20) (29 21) (29 22) (29 23) (30 23) (30 24) (30 25) (30 26) (29 26) (28 26) (27 26) (26 26) (26 25) (26 24) 
9,2,2,(9 16),(26 24),685,497,395,(9 16) (9 17) (9 18) (8 18) (8 19) (8 20) (8 21) (9 21) (10 21) (11 21) (12 21) (13 21) (14 21) (15 21) (16 21) (17 21) (18 21) (19 21) (20 21) (20 22) (21 22) (22 22) (23 22) (24 22) (25 22) (26 22) (27 22) (27 23) (27 24) (26 24) 
9,1,3,(9 16),(26 24),3156,2636,311,(9 16) (9 17) (9 18) (10 18) (11 18) (12 18) (13 18) (13 19) (14 19) (15 19) (15 18) (16 18) (17 18) (18 18) (19 18) (20 18) (21 18) (22 18) (22 19) (23 19) (24 19) (25 19) (26 19) (26 20) (26 21) (26 22) (26 23) (26 24) 
9,2,3,(9 16),(26 24),2787,2224,686,(9 16) (8 16) (8 15) (8 14) (8 13) (9 13) (9 12) (9 11) (8 11) (7 11) (7 10) (6 10) (5 10) (5 11) (4 11) (4 12) (4 13) (4 14) (3 14) (3 15) (3 16) (4 16) (4 17) (4 18) (5 18) (6 18) (6 19) (7 19) (8 19) (9 19) (9 20) (10 20) (11 20) (12 20) (13 20) (13 19) (14 19) (15 19) (16 19) (17 19) (17 18) (17 17) (18 17) (19 17) (20 17) (21 17) (22 17) (23 17) (24 17) (25 17) (26 17) (27 17) (28 17) (28 18) (28 19) (28 20) (28 21) (28 22) (28 23) (28 24) (27 24) (26 24) 
9,1,4,(9 16),(26 24),1854,1377,266,(9 16) (9 17) (10 17) (11 17) (11 18) (12 18) (13 18) (13 19) (14 19) (14 20) (14 21) (15 21) (16 21) (16 22) (17 22) (18 22) (18 23) (19 23) (20 23) (21 23) (22 23) (22 24) (22 25) (23 25) (24 25) (24 24) (25 24) (26 24) 
9,2,4,(9 16),(26 24),1853,1301,428,(9 16) (9 17) (9 18) (9 19) (9 20) (8 20) (8 21) (8 22) (8 23) (7 23) (7 24) (6 24) (6 25) (6 26) (5 26) (5 27) (5 28) (6 28) (7 28) (8 28) (9 28) (10 28) (11 28) (12 28) (13 28) (13 29) (14 29) (15 29) (16 29) (17 29) (17 28) (17 27) (17 26) (18 26) (18 25) (19 25) (20 25) (21 25) (22 25) (23 25) (23 24) (24 24) (25 24) (26 24) 
10,1,1,(18 3),(5 16),1404,1218,320,(18 3) (18 4) (18 5) (17 5) (16 5) (15 5) (14 5) (13 5) (12 5) (11 5) (10 5) (9 5) (9 6) (9 7) (9 8) (9 9) (9 10) (9 11) (8 11) (7 11) (6 11) (5 11) (4 11) (3 11) (2 11) (2 12) (2 13) (2 14) (3 14) (3 15) (4 15) (4 16) (5 16) 
10,2,1,(18 3),(5 16),738,543,280,(18 3) (18 4) (18 5) (18 6) (18 7) (18 8) (18 9) (17 9) (16 9) (15 9) (14 9) (13 9) (12 9) (11 9) (11 10) (11 11) (11 12) (11 13) (11 14) (10 14) (9 14) (9 13) (8 13) (7 13) (6 13) (6 14) (5 14) (5 15) (5 16) 
10,1,2,(18 3),(5 16),640,482,405,(18 3) (18 4) (18 5) (17 5) (16 5) (15 5) (15 4) (14 4) (14 3) (13 3) (12 3) (12 2) (11 2) (11 1) (10 1) (9 1) (9 2) (8 2) (7 2) (7 3) (7 4) (7 5) (7 6) (7 7) (7 8) (7 9) (7 10) (7 11) (6 11) (5 11) (5 12) (5 13) (5 14) (5 15) (5 16) 
10,2,2,(18 3),(5 16),825,662,575,(18 3) (19 3) (19 4) (20 4) (20 5) (20 6) (19 6) (18 6) (17 6) (16 6) (16 5) (16 4) (16 3) (15 3) (14 3) (13 3) (12 3) (11 3) (10 3) (10 2) (10 1) (9 1) (8 1) (7 1) (6 1) (5 1) (4 1) (3 1) (2 1) (2 2) (2 3) (2 4) (2 5) (2 6) (2 7) (2 8) (2 9) (2 10) (2 11) (3 11) (3 12) (4 12) (4 13) (5 13) (5 14) (5 15) (5 16) 
10,1,3,(18 3),(5 16),2131,1706,653,(18 3) (18 4) (18 5) (19 5) (20 5) (21 5) (22 5) (22 6) (22 7) (22 8) (22 9) (23 9) (23 10) (23 11) (23 12) (23 13) (24 13) (24 14) (25 14) (26 14) (26 15) (26 16) (26 17) (26 18) (26 19) (26 20) (26 21) (26 22) (26 23) (25 23) (24 23) (23 23) (22 23) (21 23) (21 22) (21 21) (20 21) (19 21) (18 21) (18 20) (18 19) (18 18) (17 18) (16 18) (15 18) (14 18) (13 18) (13 17) (12 17) (11 17) (10 17) (10 16) (10 15) (10 14) (9 14) (8 14) (7 14) (6 14) (5 14) (5 15) (5 16) 
10,2,3,(18 3),(5 16),1698,1323,403,(18 3) (18 4) (18 5) (18 6) (18 7) (18 8) (19 8) (19 9) (19 10) (19 11) (19 12) (19 13) (20 13) (21 13) (21 14) (21 15) (21 16) (21 17) (20 17) (19 17) (18 17) (17 17) (16 17) (15 17) (14 17) (14 16) (14 15) (13 15) (12 15) (11 15) (10 15) (9 15) (8 15) (7 15) (6 15) (5 15) (5 16) 
10,1,4,(18 3),(5 16),3217,2800,227,(18 3) (18 4) (18 5) (18 6) (18 7) (17 7) (16 7) (15 7) (14 7) (13 7) (12 7) (11 7) (10 7) (9 7) (8 7) (7 7) (7 8) (7 9) (7 10) (7 11) (7 12) (7 13) (6 13) (5 13) (5 14) (5 15) (5 16) 
10,2,4,(18 3),(5 16),1200,855,388,(18 3) (18 4) (19 4) (19 5) (20 5) (20 6) (21 6) (21 7) (22 7) (23 7) (24 7) (24 8) (24 9) (25 9) (25 10) (25 11) (24 11) (23 11) (22 11) (22 12) (21 12) (21 13) (20 13) (19 13) (18 13) (17 13) (16 13) (16 14) (15 14) (14 14) (13 14) (12 14) (11 14) (10 14) (9 14) (8 14) (7 14) (7 15) (6 15) (5 15) (5 16) 
11,1,1,(16 10),(22 16),150,84,160,(16 10) (16 11) (16 12) (15 12) (15 13) (15 14) (16 14) (16 15) (17 15) (18 15) (18 14) (19 14) (20 14) (20 15) (20 16) (21 16) (22 16) 
11,2,1,(16 10),(22 16),342,228,140,(16 10) (15 10) (15 11) (15 12) (16 12) (17 12) (18 12) (19 12) (20 12) (21 12) (21 13) (21 14) (21 15) (22 15) (22 16) 
11,1,2,(16 10),(22 16),123,63,210,(16 10) (15 10) (15 11) (15 12) (16 12) (17 12) (18 12) (19 12) (20 12) (21 12) (21 13) (22 13) (23 13) (23 14) (23 15) (22 15) (22 16) 
11,2,2,(16 10),(22 16),71,36,150,(16 10) (16 11) (17 11) (17 12) (18 12) (19 12) (20 12) (21 12) (21 13) (21 14) (21 15) (22 15) (22 16) 
11,1,3,(16 10),(22 16),3776,3412,153,(16 10) (16 11) (16 12) (16 13) (16 14) (17 14) (17 15) (17 16) (18 16) (19 16) (19 17) (20 17) (21 17) (21 16) (22 16) 
11,2,3,(16 10),(22 16),1952,1496,702,(16 10) (16 9) (17 9) (17 8) (17 7) (17 6) (18 6) (19 6) (19 5) (19 4) (18 4) (18 3) (18 2) (17 2) (16 2) (16 3) (15 3) (14 3) (13 3) (12 3) (11 3) (11 4) (11 5) (10 5) (9 5) (8 5) (7 5) (7 6) (6 6) (6 7) (5 7) (4 7) (3 7) (3 8) (3 9) (3 10) (3 11) (3 12) (4 12) (4 13) (5 13) (5 14) (6 14) (7 14) (8 14) (8 13) (9 13) (10 13) (11 13) (12 13) (13 13) (14 13) (15 13) (15 14) (16 14) (16 15) (17 15) (18 15) (19 15) (20 15) (21 15) (22 15) (22 16) 
11,1,4,(16 10),(22 16),679,447,319,(16 10) (16 9) (16 8) (16 7) (16 6) (16 5) (15 5) (14 5) (14 6) (14 7) (13 7) (12 7) (12 8) (12 9) (12 10) (13 10) (14 10) (14 11) (15 11) (15 12) (16 12) (16 13) (16 14) (16 15) (17 15) (18 15) (19 15) (19 16) (19 17) (20 17) (21 17) (21 16) (22 16) 
11,2,4,(16 10),(22 16),1958,1498,142,(16 10) (15 10) (15 11) (15 12) (15 13) (14 13) (14 14) (14 15) (15 15) (16 15) (17 15) (18 15) (19 15) (20 15) (21 15) (22 15) (22 16) 
12,1,1,(7 11),(8 6),1661,1467,780,(7 11) (7 12) (7 13) (7 14) (7 15) (7 16) (7 17) (7 18) (8 18) (8 19) (8 20) (9 20) (10 20) (11 20) (11 19) (12 19) (13 19) (14 19) (15 19) (16 19) (17 19) (18 19) (19 19) (19 18) (20 18) (20 17) (21 17) (21 16) (22 16) (22 15) (23 15) (23 14) (24 14) (24 13) (25 13) (25 12) (26 12) (26 11) (26 10) (25 10) (25 9) (25 8) (26 8) (27 8) (28 8) (29 8) (30 8) (30 7) (30 6) (29 6) (29 5) (28 5) (28 4) (27 4) (27 3) (26 3) (26 2) (25 2) (24 2) (23 2) (22 2) (21 2) (20 2) (19 2) (18 2) (17 2) (16 2) (15 2) (14 2) (13 2) (12 2) (11 2) (10 2) (9 2) (8 2) (8 3) (8 4) (8 5) (8 6) 
12,2,1,(7 11),(8 6),525,396,220,(7 11) (7 12) (8 12) (8 13) (8 14) (8 15) (7 15) (6 15) (6 14) (5 14) (5 13) (4 13) (4 12) (4 11) (4 10) (4 9) (4 8) (4 7) (5 7) (5 6) (6 6) (7 6) (8 6) 
12,1,2,(7 11),(8 6),1132,958,325,(7 11) (7 12) (7 13) (6 13) (5 13) (5 12) (5 11) (5 10) (5 9) (4 9) (3 9) (2 9) (2 8) (2 7) (3 7) (3 6) (3 5) (3 4) (4 4) (5 4) (6 4) (7 4) (8 4) (9 4) (9 5) (9 6) (8 6) 
12,2,2,(7 11),(8 6),1419,1235,655,(7 11) (7 12) (7 13) (6 13) (5 13) (5 14) (5 15) (4 15) (4 16) (4 17) (4 18) (5 18) (6 18) (7 18) (7 19) (7 20) (7 21) (8 21) (9 21) (10 21) (11 21) (12 21) (12 20) (13 20) (14 20) (15 20) (16 20) (16 19) (16 18) (16 17) (16 16) (16 15) (17 15) (17 14) (18 14) (18 13) (18 12) (18 11) (18 10) (18 9) (18 8) (18 7) (18 6) (17 6) (16 6) (15 6) (14 6) (13 6) (12 6) (11 6) (10 6) (9 6) (8 6) 
12,1,3,(7 11),(8 6),1500,1114,223,(7 11) (7 12) (7 13) (8 13) (9 13) (10 13) (10 12) (11 12) (11 11) (11 10) (11 9) (12 9) (13 9) (13 8) (13 7) (12 7) (12 6) (11 6) (10 6) (9 6) (8 6) 
12,2,3,(7 11),(8 6),1927,1406,747,(7 11) (7 12) (8 12) (8 13) (8 14) (8 15) (8 16) (8 17) (8 18) (9 18) (10 18) (10 19) (10 20) (11 20) (11 21) (11 22) (11 23) (12 23) (13 23) (14 23) (15 23) (16 23) (16 22) (17 22) (18 22) (19 22) (20 22) (20 21) (21 21) (21 20) (21 19) (21 18) (21 17) (21 16) (21 15) (21 14) (21 13) (21 12) (22 12) (22 11) (22 10) (22 9) (22 8) (22 7) (22 6) (22 5) (22 4) (22 3) (21 3) (21 2) (21 1) (20 1) (19 1) (18 1) (17 1) (16 1) (15 1) (14 1) (13 1) (12 1) (11 1) (10 1) (10 2) (10 3) (10 4) (10 5) (9 5) (9 6) (8 6) 
12,1,4,(7 11),(8 6),441,275,338,(7 11) (7 12) (7 13) (7 14) (6 14) (5 14) (5 15) (5 16) (5 17) (4 17) (3 17) (2 17) (1 17) (1 16) (1 15) (1 14) (1 13) (1 12) (1 11) (1 10) (2 10) (2 9) (2 8) (3 8) (4 8) (4 7) (4 6) (4 5) (4 4) (5 4) (6 4) (7 4) (8 4) (8 5) (8 6) 
12,2,4,(7 11),(8 6),1440,992,267,(7 11) (7 12) (8 12) (8 13) (9 13) (10 13) (11 13) (11 12) (12 12) (12 11) (13 11) (14 11) (15 11) (15 10) (15 9) (15 8) (15 7) (15 6) (15 5) (14 5) (13 5) (13 6) (12 6) (11 6) (11 7) (10 7) (9 7) (8 7) (8 6) 
13,1,1,(0 22),(5 18),77,41,190,(0 22) (0 23) (0 24) (0 25) (1 25) (2 25) (3 25) (3 24) (4 24) (4 23) (5 23) (5 22) (6 22) (7 22) (7 21) (7 20) (7 19) (7 18) (6 18) (5 18) 
13,2,1,(0 22),(5 18),28,14,90,(0 22) (0 21) (1 21) (2 21) (3 21) (3 20) (4 20) (5 20) (5 19) (5 18) 
13,1,2,(0 22),(5 18),153,94,115,(0 22) (0 21) (1 21) (1 20) (1 19) (2 19) (3 19) (4 19) (5 19) (5 18) 
13,2,2,(0 22),(5 18),537,403,475,(0 22) (0 23) (0 24) (0 25) (1 25) (1 26) (2 26) (3 26) (3 27) (4 27) (4 28) (5 28) (6 28) (6 27) (6 26) (6 25) (6 24) (7 24) (8 24) (9 24) (9 23) (10 23) (11 23) (12 23) (13 23) (13 22) (13 21) (12 21) (12 20) (11 20) (11 19) (10 19) (10 18) (9 18) (8 18) (7 18) (6 18) (5 18) 
13,1,3,(0 22),(5 18),397,242,349,(0 22) (0 21) (1 21) (2 21) (2 22) (2 23) (3 23) (3 24) (3 25) (3 26) (3 27) (4 27) (5 27) (6 27) (7 27) (7 26) (8 26) (9 26) (10 26) (10 25) (10 24) (10 23) (9 23) (8 23) (7 23) (6 23) (6 22) (6 21) (6 20) (5 20) (5 19) (5 18) 
13,2,3,(0 22),(5 18),640,399,353,(0 22) (1 22) (1 23) (2 23) (2 24) (2 25) (3 25) (3 26) (4 26) (5 26) (6 26) (7 26) (8 26) (8 25) (8 24) (9 24) (10 24) (10 23) (11 23) (11 22) (11 21) (11 20) (11 19) (10 19) (9 19) (8 19) (8 18) (7 18) (7 17) (6 17) (5 17) (5 18) 
13,1,4,(0 22),(5 18),35,18,88,(0 22) (0 21) (0 20) (0 19) (1 19) (2 19) (3 19) (3 18) (4 18) (5 18) 
13,2,4,(0 22),(5 18),3554,2872,133,(0 22) (0 23) (0 24) (1 24) (2 24) (3 24) (4 24) (4 23) (4 22) (4 21) (4 20) (4 19) (4 18) (5 18) 
14,1,1,(2 25),(5 0),1742,1468,800,(2 25) (2 26) (2 27) (2 28) (2 29) (3 29) (4 29) (5 29) (5 28) (6 28) (6 27) (7 27) (7 26) (7 25) (8 25) (8 24) (8 23) (8 22) (8 21) (8 20) (8 19) (8 18) (8 17) (8 16) (8 15) (8 14) (8 13) (8 12) (9 12) (10 12) (11 12) (12 12) (13 12) (14 12) (15 12) (16 12) (17 12) (18 12) (18 11) (19 11) (20 11) (21 11) (22 11) (23 11) (24 11) (25 11) (26 11) (27 11) (27 10) (27 9) (27 8) (27 7) (27 6) (27 5) (27 4) (27 3) (26 3) (25 3) (24 3) (23 3) (22 3) (21 3) (20 3) (20 2) (19 2) (19 1) (18 1) (17 1) (16 1) (15 1) (14 1) (13 1) (12 1) (11 1) (10 1) (9 1) (8 1) (7 1) (6 1) (5 1) (5 0) 
14,2,1,(2 25),(5 0),1054,872,340,(2 25) (1 25) (1 24) (0 24) (0 23) (0 22) (0 21) (0 20) (1 20) (1 19) (2 19) (2 18) (2 17) (1 17) (1 16) (1 15) (1 14) (1 13) (1 12) (1 11) (1 10) (1 9) (1 8) (2 8) (3 8) (3 7) (3 6) (3 5) (3 4) (3 3) (3 2) (3 1) (3 0) (4 0) (5 0) 
14,1,2,(2 25),(5 0),1449,1195,685,(2 25) (2 24) (2 23) (3 23) (4 23) (5 23) (5 22) (5 21) (6 21) (7 21) (8 21) (9 21) (9 22) (10 22) (10 23) (11 23) (12 23) (12 24) (13 24) (14 24) (14 23) (14 22) (14 21) (14 20) (14 19) (13 19) (13 18) (12 18) (12 17) (11 17) (11 16) (10 16) (9 16) (9 15) (9 14) (9 13) (9 12) (9 11) (8 11) (7 11) (7 10) (7 9) (7 8) (7 7) (7 6) (7 5) (6 5) (5 5) (4 5) (3 5) (3 4) (3 3) (3 2) (3 1) (3 0) (4 0) (5 0) 
14,2,2,(2 25),(5 0),839,666,645,(2 25) (2 26) (2 27) (2 28) (2 29) (3 29) (4 29) (5 29) (6 29) (7 29) (8 29) (9 29) (10 29) (10 28) (10 27) (11 27) (11 26) (12 26) (13 26) (13 25) (13 24) (14 24) (14 23) (14 22) (14 21) (13 21) (13 20) (13 19) (13 18) (13 17) (13 16) (13 15) (13 14) (13 13) (13 12) (12 12) (12 11) (12 10) (12 9) (12 8) (12 7) (12 6) (12 5) (12 4) (12 3) (11 3) (10 3) (9 3) (8 3) (7 3) (6 3) (5 3) (5 2) (5 1) (5 0) 
14,1,3,(2 25),(5 0),3531,3017,456,(2 25) (1 25) (1 24) (1 23) (1 22) (2 22) (3 22) (3 21) (3 20) (3 19) (4 19) (4 18) (5 18) (6 18) (6 17) (6 16) (7 16) (7 15) (7 14) (8 14) (9 14) (9 13) (9 12) (9 11) (8 11) (8 10) (8 9) (7 9) (6 9) (5 9) (4 9) (3 9) (3 8) (3 7) (3 6) (3 5) (3 4) (3 3) (3 2) (3 1) (3 0) (4 0) (5 0) 
14,2,3,(2 25),(5 0),6383,5681,391,(2 25) (2 24) (2 23) (2 22) (2 21) (3 21) (3 20) (3 19) (2 19) (2 18) (2 17) (3 17) (3 16) (3 15) (3 14) (4 14) (5 14) (5 13) (6 13) (6 12) (6 11) (7 11) (7 10) (7 9) (8 9) (8 8) (8 7) (7 7) (7 6) (6 6) (6 5) (6 4) (6 3) (6 2) (6 1) (5 1) (5 0) 
14,1,4,(2 25),(5 0),2234,1527,303,(2 25) (2 24) (2 23) (2 22) (2 21) (2 20) (2 19) (2 18) (2 17) (1 17) (1 16) (1 15) (1 14) (1 13) (1 12) (1 11) (1 10) (1 9) (1 8) (1 7) (1 6) (1 5) (1 4) (1 3) (1 2) (1 1) (1 0) (2 0) (3 0) (4 0) (5 0) 
14,2,4,(2 25),(5 0),4008,3272,722,(2 25) (2 26) (2 27) (3 27) (4 27) (5 27) (6 27) (7 27) (8 27) (9 27) (10 27) (11 27) (12 27) (12 26) (13 26) (14 26) (14 25) (14 24) (15 24) (16 24) (17 24) (18 24) (19 24) (20 24) (21 24) (21 25) (22 25) (23 25) (24 25) (25 25) (26 25) (26 24) (26 23) (26 22) (25 22) (25 21) (24 21) (24 20) (23 20) (22 20) (22 19) (22 18) (22 17) (22 16) (21 16) (21 15) (20 15) (19 15) (18 15) (17 15) (16 15) (16 14) (16 13) (16 12) (16 11) (15 11) (14 11) (14 10) (14 9) (14 8) (14 7) (14 6) (14 5) (14 4) (13 4) (12 4) (11 4) (10 4) (9 4) (8 4) (7 4) (6 4) (5 4) (5 3) (5 2) (5 1) (5 0) 
15,1,1,(3 23),(27 9),594,418,460,(3 23) (3 22) (3 21) (4 21) (5 21) (5 20) (5 19) (5 18) (6 18) (7 18) (8 18) (8 19) (9 19) (10 19) (11 19) (12 19) (12 18) (13 18) (13 17) (13 16) (14 16) (15 16) (15 15) (15 14) (15 13) (15 12) (15 11) (15 10) (16 10) (16 9) (16 8) (17 8) (18 8) (19 8) (20 8) (21 8) (22 8) (22 9) (23 9) (24 9) (24 8) (24 7) (25 7) (26 7) (27 7) (27 8) (27 9) 
15,2,1,(3 23),(27 9),1132,955,520,(3 23) (2 23) (2 24) (2 25) (2 26) (3 26) (4 26) (5 26) (5 25) (6 25) (7 25) (8 25) (9 25) (9 24) (10 24) (10 23) (10 22) (10 21) (10 20) (11 20) (11 19) (12 19) (13 19) (14 19) (15 19) (16 19) (16 18) (16 17) (16 16) (17 16) (18 16) (19 16) (20 16) (21 16) (21 15) (21 14) (21 13) (21 12) (21 11) (21 10) (21 9) (21 8) (21 7) (21 6) (22 6) (23 6) (24 6) (25 6) (26 6) (27 6) (27 7) (27 8) (27 9) 
15,1,2,(3 23),(27 9),1256,1143,500,(3 23) (3 22) (3 21) (4 21) (5 21) (6 21) (7 21) (8 21) (9 21) (9 20) (9 19) (9 18) (9 17) (9 16) (10 16) (10 15) (10 14) (11 14) (12 14) (13 14) (14 14) (15 14) (16 14) (17 14) (18 14) (18 13) (18 12) (18 11) (19 11) (19 10) (19 9) (20 9) (21 9) (22 9) (23 9) (24 9) (25 9) (26 9) (27 9) 
15,2,2,(3 23),(27 9),1063,886,540,(3 23) (3 22) (4 22) (5 22) (5 23) (5 24) (6 24) (7 24) (8 24) (9 24) (9 23) (10 23) (11 23) (12 23) (12 22) (12 21) (12 20) (13 20) (14 20) (14 19) (15 19) (16 19) (17 19) (18 19) (19 19) (20 19) (20 18) (20 17) (20 16) (20 15) (20 14) (20 13) (20 12) (20 11) (20 10) (21 10) (22 10) (23 10) (24 10) (25 10) (26 10) (27 10) (27 9) 
15,1,3,(3 23),(27 9),2151,1692,532,(3 23) (3 24) (3 25) (3 26) (3 27) (4 27) (5 27) (6 27) (7 27) (8 27) (8 28) (9 28) (10 28) (11 28) (12 28) (13 28) (14 28) (15 28) (16 28) (17 28) (18 28) (19 28) (20 28) (21 28) (22 28) (23 28) (24 28) (25 28) (26 28) (26 27) (27 27) (27 26) (27 25) (27 24) (27 23) (27 22) (27 21) (27 20) (27 19) (27 18) (27 17) (27 16) (27 15) (27 14) (27 13) (27 12) (27 11) (27 10) (27 9) 
15,2,3,(3 23),(27 9),837,560,646,(3 23) (3 24) (4 24) (5 24) (5 25) (6 25) (6 26) (6 27) (6 28) (6 29) (6 30) (7 30) (8 30) (9 30) (10 30) (11 30) (12 30) (12 29) (13 29) (14 29) (15 29) (16 29) (17 29) (17 28) (18 28) (19 28) (20 28) (21 28) (22 28) (23 28) (24 28) (25 28) (26 28) (27 28) (28 28) (28 27) (28 26) (28 25) (29 25) (29 24) (29 23) (28 23) (27 23) (27 22) (27 21) (27 20) (27 19) (27 18) (26 18) (26 17) (26 16) (26 15) (26 14) (26 13) (26 12) (27 12) (27 11) (27 10) (27 9) 
15,1,4,(3 23),(27 9),4545,3866,491,(3 23) (3 24) (4 24) (4 25) (4 26) (4 27) (4 28) (5 28) (6 28) (7 28) (8 28) (8 29) (9 29) (10 29) (10 28) (10 27) (11 27) (12 27) (13 27) (14 27) (14 26) (14 25) (14 24) (14 23) (14 22) (14 21) (14 20) (15 20) (16 20) (16 19) (16 18) (16 17) (16 16) (16 15) (16 14) (16 13) (16 12) (17 12) (17 11) (17 10) (17 9) (18 9) (19 9) (20 9) (21 9) (22 9) (23 9) (24 9) (25 9) (26 9) (27 9) 
